AAPL (APPLE INC),186.80,-5.43,
Nov 14 2018 @ 19:12 ET,Bid,186.93,Ask,187.14,Size,1x1,Vol,60747714,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
2018 Nov 16 2.50 (AAPL1816K2.5),192.15,0.0,183.70,184.80,0,30,2018 Nov 16 2.50 (AAPL1816W2.5),0.0,0.0,0.0,0.13,0,0,
2018 Nov 16 2.50 (AAPL1816K2.5-3),217.45,0.0,176.40,192.35,0,30,2018 Nov 16 2.50 (AAPL1816W2.5-3),0.0,0.0,0.0,0.23,0,0,
2018 Nov 16 2.50 (AAPL1816K2.5-4),217.45,0.0,183.65,184.95,0,30,2018 Nov 16 2.50 (AAPL1816W2.5-4),0.0,0.0,0.0,0.14,0,0,
2018 Nov 16 2.50 (AAPL1816K2.5-8),217.45,0.0,183.70,184.85, ,30,2018 Nov 16 2.50 (AAPL1816W2.5-8),0.0,0.0,0.0,5.00, ,0,
2018 Nov 16 2.50 (AAPL1816K2.5-A),217.45,0.0,182.40,186.75,0,30,2018 Nov 16 2.50 (AAPL1816W2.5-A),0.0,0.0,0.0,0.13,0,0,
2018 Nov 16 2.50 (AAPL1816K2.5-B),217.45,0.0,182.40,186.50, ,30,2018 Nov 16 2.50 (AAPL1816W2.5-B),0.0,0.0,0.0,0.13, ,0,
2018 Nov 16 2.50 (AAPL1816K2.5-E),192.15,0.0,177.25,192.25, ,30,2018 Nov 16 2.50 (AAPL1816W2.5-E),0.0,0.0,0.0,9.55, ,0,
2018 Nov 16 2.50 (AAPL1816K2.5-I),217.45,0.0,183.70,184.90,0,30,2018 Nov 16 2.50 (AAPL1816W2.5-I),0.0,0.0,0.0,0.13,0,0,
2018 Nov 16 2.50 (AAPL1816K2.5-J),217.45,0.0,182.40,186.65, ,30,2018 Nov 16 2.50 (AAPL1816W2.5-J),0.0,0.0,0.0,0.23, ,0,
2018 Nov 16 2.50 (AAPL1816K2.5-K),0.0,0.0,182.40,187.40, ,30,2018 Nov 16 2.50 (AAPL1816W2.5-K),0.0,0.0,0.0,5.00, ,0,
2018 Nov 16 2.50 (AAPL1816K2.5-O),217.30,0.0,182.40,186.55, ,30,2018 Nov 16 2.50 (AAPL1816W2.5-O),0.0,0.0,0.0,0.13, ,0,
2018 Nov 16 2.50 (AAPL1816K2.5-OG),0.0,0.0,182.60,187.40,0,30,2018 Nov 16 2.50 (AAPL1816W2.5-OG),0.0,0.0,0.0,0.13,0,0,
2018 Nov 16 2.50 (AAPL1816K2.5-P),217.45,0.0,182.40,186.40,0,30,2018 Nov 16 2.50 (AAPL1816W2.5-P),0.0,0.0,0.0,0.13,0,0,
2018 Nov 16 2.50 (AAPL1816K2.5-S),217.45,0.0,183.70,184.80, ,30,2018 Nov 16 2.50 (AAPL1816W2.5-S),0.0,0.0,0.0,0.13, ,0,
2018 Nov 16 2.50 (AAPL1816K2.5-X),206.00,0.0,182.40,186.15, ,30,2018 Nov 16 2.50 (AAPL1816W2.5-X),0.0,0.0,0.0,5.00, ,0,
